Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17
18:,6,222,1,176.3851,0.04185,7.3817,159.2,162.5,164.2,168.7,171.4 176.4,181.4,184.0,188.5,190.3,193.6
,,,,,,,,,,,,,,,,
18:,7,223,1,176.4162,0.04177,7.3689,159.3,162.6,164.3,168.8,171.4 176.4,181.4,184.1,188.5,190.3,193.6
,,,,,,,,,,,,,,,,
18:,8,224,1,176.4453,0.04168,7.3542,159.3,162.6,164.3,168.8,171.5 176.4,181.4,184.1,188.5,190.3,193.6
,,,,,,,,,,,,,,,,
18:,9,225,1,176.4724,0.04159,7.3395,159.4,162.7,164.4,168.9,171.5 176.5,181.4,184.1,188.5,190.3,193.5
,,,,,,,,,,,,,,,,
18:1,0,226,1,176.4976,0.04150,7.3247,159.5,162.7,164.5,168.9,171.6 176.5,181.4,184.1,188.5,190.3,193.5
,,,,,,,,,,,,,,,,
18:1,1,227,1,176.5211,0.04142,7.3115,159.5,162.8,164.5,168.9,171.6 176.5,181.5,184.1,188.5,190.3,193.5
,,,,,,,,,,,,,,,,
19:,0,228,1,176.5432,0.04134,7.2983,159.6,162.8,164.5,169.0,171.6 176.5,181.5,184.1,188.5,190.3,193.5
