Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17
18:,6,222,1,163.1279,0.04030,6.5741,147.8,150.8,152.3,156.3,158.7 163.1,167.6,169.9,173.9,175.5,178.4
,,,,,,,,,,,,,,,,
18:,7,223,1,163.1355,0.04026,6.5678,147.9,150.8,152.3,156.3,158.7 163.1,167.6,169.9,173.9,175.5,178.4
,,,,,,,,,,,,,,,,
18:,8,224,1,163.1418,0.04023,6.5632,147.9,150.8,152.3,156.3,158.7 163.1,167.6,169.9,173.9,175.5,178.4
,,,,,,,,,,,,,,,,
18:,9,225,1,163.1469,0.04019,6.5569,147.9,150.8,152.4,156.4,158.7 163.1,167.6,169.9,173.9,175.5,178.4
,,,,,,,,,,,,,,,,
18:1,0,226,1,163.1508,0.04016,6.5521,147.9,150.8,152.4,156.4,158.7 163.2,167.6,169.9,173.9,175.5,178.4
,,,,,,,,,,,,,,,,
18:1,1,227,1,163.1534,0.04012,6.5457,147.9,150.8,152.4,156.4,158.7 163.2,167.6,169.9,173.9,175.5,178.4
,,,,,,,,,,,,,,,,
19:,0,228,1,163.1548,0.04009,6.5409,147.9,150.9,152.4,156.4,158.7 163.2,167.6,169.9,173.9,175.5,178.4
